symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,sortino_like,cost_roundtrip,r2,mae_bps,mape_pct,log_loss
BTCUSDT,4h,365 days ago UTC,16,sgdlog,2143,time,0.2,,direction,0.0,0.514018691588785,0.0,0.0,0.0,0.5123251748251748,"[[220, 0], [208, 0]]",0.5,0,,0.0,,0.0,,,0.002,,,,0.7458663331689908
BTCUSDT,4h,365 days ago UTC,16,rf,2143,time,0.2,,direction,0.0,0.4976635514018692,0.48148148148148145,0.4375,0.45843828715365237,0.5055288461538462,"[[122, 98], [117, 91]]",0.63,1,1.0,5.923239735068347e-06,0.0025351466066092527,0.002535146606609251,2.2620394403958883,,0.002,,,,0.7083698352064766
BTCUSDT,4h,365 days ago UTC,16,hgb,2143,time,0.2,,direction,0.0,0.5327102803738317,0.52,0.5,0.5098039215686274,0.5390734265734266,"[[124, 96], [104, 104]]",0.9,8,0.5,-3.105792165749636e-05,-0.0016615988086760554,-0.0135661855288296,-1.112704924294642,-0.2949788256379716,0.002,,,,0.7854053605127058
BTCUSDT,4h,365 days ago UTC,16,linsvc,2143,time,0.2,,direction,0.0,0.514018691588785,0.0,0.0,0.0,0.5123033216783217,"[[220, 0], [208, 0]]",0.5,0,,0.0,,0.0,,,0.002,,,,0.7458670192885185
BTCUSDT,4h,365 days ago UTC,16,bilstm,2128,time,0.2,,direction,0.0,0.5435294117647059,0.5191082802547771,0.7912621359223301,0.6269230769230769,0.5665425366848429,"[[68, 151], [43, 163]]",0.765,0,,0.0,,0.0,,,0.002,,,,0.6908851708814763
BTCUSDT,4h,365 days ago UTC,16,gru_lstm,2128,time,0.2,,direction,0.0,0.5105882352941177,0.4973404255319149,0.9077669902912622,0.6426116838487973,0.5346898967061222,"[[30, 189], [19, 187]]",0.64,13,0.46153846153846156,4.503817902653494e-05,0.0014724020066367188,0.01887703279326214,1.4640631386442668,0.2360756635104931,0.002,,,,0.6994889060661693
BTCUSDT,4h,365 days ago UTC,16,hybrid_transformer,2128,time,0.2,,direction,0.0,0.5364705882352941,0.5302013422818792,0.38349514563106796,0.4450704225352113,0.5491643392295075,"[[149, 70], [127, 79]]",0.66,5,0.8,2.0252637823675415e-05,0.0017214742150124102,0.008623213508167415,3.0059063843029423,17214742150.1241,0.002,,,,0.694068752381128
BTCUSDT,4h,365 days ago UTC,16,voting_soft,2143,time,0.2,,direction,0.0,0.5280373831775701,0.5145631067961165,0.5096153846153846,0.5120772946859904,0.5351180069930069,"[[120, 100], [102, 106]]",0.68,1,1.0,1.7287940712144004e-05,0.0073992386247976345,0.007399238624797633,2.2620394403958883,,0.002,,,,0.7018499091756568
BTCUSDT,4h,365 days ago UTC,16,stacking,2143,time,0.2,,direction,0.0,0.5186915887850467,0.5026737967914439,0.9038461538461539,0.6460481099656358,0.5524475524475525,"[[34, 186], [20, 188]]",0.59,8,0.875,7.351225586851268e-05,0.0039329056889654285,0.03182303482119986,4.312853762055809,39329056889.65429,0.002,,,,0.6928522296392305
BTCUSDT,4h,365 days ago UTC,16,metalabel,2143,time,0.2,,direction,0.0,0.530373831775701,0.5175879396984925,0.4951923076923077,0.5061425061425061,0.5391389860139859,"[[124, 96], [105, 103]]",0.9,7,0.5714285714285714,-2.1405916185570053e-05,-0.0013088188753462835,-0.009471534710847274,-0.778979499100034,-0.23895277078418317,0.002,,,,0.8901716918568328
BTCUSDT,4h,365 days ago UTC,16,arima,2143,time,0.2,,direction,0.0,0.48598130841121495,0.48598130841121495,1.0,0.6540880503144654,0.49995629370629374,"[[0, 220], [0, 208]]",0.64,0,,0.0,,0.0,,,0.002,,,,0.7331391795918177
BTCUSDT,8h,365 days ago UTC,16,logreg,1048,time,0.2,,direction,0.0,0.5311004784688995,0.5311004784688995,1.0,0.69375,0.45477109762824053,"[[0, 98], [0, 111]]",0.515,0,,0.0,,0.0,,,0.002,,,,0.6918848247520881
BTCUSDT,8h,365 days ago UTC,16,sgdlog,1048,time,0.2,,direction,0.0,0.4688995215311005,0.0,0.0,0.0,0.4538518109946681,"[[98, 0], [111, 0]]",0.5,0,,0.0,,0.0,,,0.002,,,,0.7518185838587114
BTCUSDT,8h,365 days ago UTC,16,rf,1048,time,0.2,,direction,0.0,0.47368421052631576,0.5263157894736842,0.09009009009009009,0.15384615384615385,0.514662621805479,"[[89, 9], [101, 10]]",0.655,0,,0.0,,0.0,,,0.002,,,,0.7238543524663836
BTCUSDT,8h,365 days ago UTC,16,hgb,1048,time,0.2,,direction,0.0,0.48325358851674644,0.56,0.12612612612612611,0.20588235294117646,0.5324967824967826,"[[87, 11], [97, 14]]",0.88,2,1.0,6.425805532558163e-05,0.006714966781523281,0.013444450966379362,2.5000465084267027,,0.002,,,,1.0826874002181492
BTCUSDT,8h,365 days ago UTC,16,linsvc,1048,time,0.2,,direction,0.0,0.4688995215311005,0.0,0.0,0.0,0.451829380400809,"[[98, 0], [111, 0]]",0.5,0,,0.0,,0.0,,,0.002,,,,0.7518181978175702
BTCUSDT,8h,365 days ago UTC,16,bilstm,1033,time,0.2,,direction,0.0,0.46601941747572817,0.49107142857142855,0.5092592592592593,0.5,0.47061602418745274,"[[41, 57], [53, 55]]",0.66,15,0.6666666666666666,0.00015327252169696558,0.0021049426313049934,0.031372735621993275,1.9592294365017486,0.49567135868226714,0.002,,,,0.7237537655454346
BTCUSDT,8h,365 days ago UTC,16,gru_lstm,1033,time,0.2,,direction,0.0,0.4368932038834951,0.4583333333333333,0.4074074074074074,0.43137254901960786,0.45256991685563114,"[[46, 52], [64, 44]]",0.87,3,0.6666666666666666,0.0001781795913215645,0.012234998604080763,0.03695487984118251,2.9122590015639083,122349986040.80765,0.002,,,,0.7655223468771624
