symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,thresholds_file
BTCUSDT,4h,200 days ago UTC,20,hgb,1142,time,0.2,,direction,0.0,0.5043859649122807,0.4866666666666667,0.6697247706422018,0.5637065637065637,0.5013491635186185,"[[42, 77], [36, 73]]",
BTCUSDT,4h,200 days ago UTC,20,rf,1142,time,0.2,,direction,0.0,0.4824561403508772,0.47804878048780486,0.8990825688073395,0.6242038216560509,0.5429804949502739,"[[12, 107], [11, 98]]",
BTCUSDT,4h,200 days ago UTC,20,hgb,1142,time,0.2,,direction,0.0,0.5043859649122807,0.4866666666666667,0.6697247706422018,0.5637065637065637,0.5013491635186185,"[[42, 77], [36, 73]]",
BTCUSDT,4h,200 days ago UTC,20,linsvc,1142,time,0.2,,direction,0.0,0.47368421052631576,0.4751131221719457,0.963302752293578,0.6363636363636364,0.46850666872253494,"[[3, 116], [4, 105]]",
BTCUSDT,15m,365 days ago UTC,20,logreg,34982,time,0.2,,direction,0.0,0.5160091480846197,0.5105853051058531,0.4748118123914302,0.49204920492049203,0.529413846645286,"[[1970, 1572], [1814, 1640]]",
BTCUSDT,15m,365 days ago UTC,20,hgb,34982,time,0.2,,direction,0.0,0.5140080045740423,0.5090970350404312,0.437463810075275,0.47056991591404546,0.5118078058745463,"[[2085, 1457], [1943, 1511]]",
BTCUSDT,15m,365 days ago UTC,20,rf,34982,time,0.2,,direction,0.0,0.5120068610634648,0.5080450522928399,0.3656629994209612,0.42525252525252527,0.5113650259259634,"[[2319, 1223], [2191, 1263]]",
BTCUSDT,15m,365 days ago UTC,20,hgb,34982,time,0.2,,direction,0.0,0.5140080045740423,0.5090970350404312,0.437463810075275,0.47056991591404546,0.5117835702727825,"[[2085, 1457], [1943, 1511]]",
BTCUSDT,15m,365 days ago UTC,20,linsvc,34982,time,0.2,,direction,0.0,0.5150085763293311,0.5283720930232558,0.16444701795020267,0.2508279973504085,0.5295251751093749,"[[3035, 507], [2886, 568]]",
BTCUSDT,30m,365 days ago UTC,20,logreg,17462,time,0.2,,direction,0.0,0.5252004581901489,0.5226791013141161,0.6985835694050991,0.5979631425800194,0.526794733207465,"[[601, 1126], [532, 1233]]",
BTCUSDT,30m,365 days ago UTC,20,hgb,17462,time,0.2,,direction,0.0,0.5042955326460481,0.5123546511627907,0.39943342776203966,0.448901623686724,0.5015468373491505,"[[1056, 671], [1060, 705]]",
BTCUSDT,30m,365 days ago UTC,20,rf,17462,time,0.2,,direction,0.0,0.5080183276059564,0.5249734325185972,0.2798866855524079,0.36511456023651145,0.5236520124468735,"[[1280, 447], [1271, 494]]",
BTCUSDT,30m,365 days ago UTC,20,hgb,17462,time,0.2,,direction,0.0,0.5042955326460481,0.5123546511627907,0.39943342776203966,0.448901623686724,0.5015468373491505,"[[1056, 671], [1060, 705]]",
BTCUSDT,30m,365 days ago UTC,20,linsvc,17462,time,0.2,,direction,0.0,0.5163230240549829,0.527027027027027,0.4198300283286119,0.467360454115421,0.5291213865436633,"[[1062, 665], [1024, 741]]",
BTCUSDT,1h,365 days ago UTC,20,logreg,8702,time,0.2,,direction,0.0,0.5270114942528735,0.5238500851788757,0.6996587030716723,0.599123234291281,0.5273466971627297,"[[302, 559], [264, 615]]",
BTCUSDT,1h,365 days ago UTC,20,hgb,8702,time,0.2,,direction,0.0,0.5074712643678161,0.5223577235772358,0.2923777019340159,0.37490882567469,0.5289910797694033,"[[626, 235], [622, 257]]",
BTCUSDT,1h,365 days ago UTC,20,rf,8702,time,0.2,,direction,0.0,0.5120689655172413,0.5421348314606742,0.21956769055745165,0.3125506072874494,0.5303216489015207,"[[698, 163], [686, 193]]",
BTCUSDT,1h,365 days ago UTC,20,hgb,8702,time,0.2,,direction,0.0,0.5074712643678161,0.5223577235772358,0.2923777019340159,0.37490882567469,0.5289910797694033,"[[626, 235], [622, 257]]",
BTCUSDT,1h,365 days ago UTC,20,linsvc,8702,time,0.2,,direction,0.0,0.5304597701149425,0.5378048780487805,0.5017064846416383,0.5191288993525603,0.5291463348568152,"[[482, 379], [438, 441]]",
BTCUSDT,4h,365 days ago UTC,20,logreg,2132,time,0.2,,direction,0.0,0.44366197183098594,0.39705882352941174,0.1210762331838565,0.18556701030927836,0.46961496830060306,"[[162, 41], [196, 27]]",
BTCUSDT,4h,365 days ago UTC,20,hgb,2132,time,0.2,,direction,0.0,0.5117370892018779,0.5773195876288659,0.25112107623318386,0.35,0.5334334754467738,"[[162, 41], [167, 56]]",
BTCUSDT,4h,365 days ago UTC,20,rf,2132,time,0.2,,direction,0.0,0.5211267605633803,0.5871559633027523,0.28699551569506726,0.3855421686746988,0.5308157900550045,"[[158, 45], [159, 64]]",
BTCUSDT,4h,365 days ago UTC,20,hgb,2132,time,0.2,,direction,0.0,0.5117370892018779,0.5773195876288659,0.25112107623318386,0.35,0.5334334754467738,"[[162, 41], [167, 56]]",
BTCUSDT,4h,365 days ago UTC,20,linsvc,2132,time,0.2,,direction,0.0,0.4812206572769953,0.75,0.013452914798206279,0.02643171806167401,0.5392873710486205,"[[202, 1], [220, 3]]",
BTCUSDT,15m,730 days ago UTC,20,logreg,70022,time,0.2,,direction,0.0,0.520065695515567,0.5145494167414434,0.5777202072538861,0.5443080886839786,0.5312759866948122,"[[3269, 3787], [2934, 4014]]",
BTCUSDT,15m,730 days ago UTC,20,hgb,70022,time,0.2,,direction,0.0,0.5149243073407598,0.5118302549229126,0.4825849165227404,0.49677753907696864,0.5224604594284461,"[[3858, 3198], [3595, 3353]]",
BTCUSDT,15m,730 days ago UTC,20,rf,70022,time,0.2,,direction,0.0,0.5107112253641817,0.5065609622744669,0.5333909038572251,0.5196298373527762,0.5140576392234115,"[[3446, 3610], [3242, 3706]]",
BTCUSDT,15m,730 days ago UTC,20,hgb,70022,time,0.2,,direction,0.0,0.5148528991716652,0.5117521367521367,0.4825849165227404,0.49674074074074076,0.5223460894144647,"[[3857, 3199], [3595, 3353]]",
BTCUSDT,15m,730 days ago UTC,20,linsvc,70022,time,0.2,,direction,0.0,0.5208511853756069,0.5240404040404041,0.3733448474381117,0.4360396705328627,0.5300562234584871,"[[4700, 2356], [4354, 2594]]",
BTCUSDT,30m,730 days ago UTC,20,logreg,34982,time,0.2,,direction,0.0,0.5201543739279588,0.5286253995931415,0.511817670230726,0.5200857755539671,0.5270060953817207,"[[1820, 1622], [1735, 1819]]",
BTCUSDT,30m,730 days ago UTC,20,hgb,34982,time,0.2,,direction,0.0,0.5124356775300172,0.5216995447647952,0.48368036015756893,0.5019710906701709,0.5129201099856551,"[[1866, 1576], [1835, 1719]]",
BTCUSDT,30m,730 days ago UTC,20,rf,34982,time,0.2,,direction,0.0,0.5150085763293311,0.5179167594035166,0.6547552054023635,0.5783521809369951,0.5219350033042128,"[[1276, 2166], [1227, 2327]]",
BTCUSDT,30m,730 days ago UTC,20,hgb,34982,time,0.2,,direction,0.0,0.5124356775300172,0.5216995447647952,0.48368036015756893,0.5019710906701709,0.5129131614924645,"[[1866, 1576], [1835, 1719]]",
BTCUSDT,30m,730 days ago UTC,20,linsvc,34982,time,0.2,,direction,0.0,0.5120068610634648,0.5356778797145769,0.29572312886888014,0.38107324147933286,0.5251219092693553,"[[2531, 911], [2503, 1051]]",
BTCUSDT,1h,730 days ago UTC,20,logreg,17462,time,0.2,,direction,0.0,0.5103092783505154,0.5093877551020408,0.7107061503416856,0.5934379457917262,0.5279433646851348,"[[534, 1202], [508, 1248]]",
BTCUSDT,1h,730 days ago UTC,20,hgb,17462,time,0.2,,direction,0.0,0.5091638029782359,0.51440329218107,0.4271070615034169,0.46670815183571873,0.5185793211950076,"[[1028, 708], [1006, 750]]",
BTCUSDT,1h,730 days ago UTC,20,rf,17462,time,0.2,,direction,0.0,0.4988545246277205,0.504297994269341,0.20045558086560364,0.28687856560717195,0.5127848364527676,"[[1390, 346], [1404, 352]]",
BTCUSDT,1h,730 days ago UTC,20,hgb,17462,time,0.2,,direction,0.0,0.5091638029782359,0.51440329218107,0.4271070615034169,0.46670815183571873,0.5185793211950076,"[[1028, 708], [1006, 750]]",
BTCUSDT,1h,730 days ago UTC,20,linsvc,17462,time,0.2,,direction,0.0,0.5200458190148912,0.530441400304414,0.3969248291571754,0.45407166123778503,0.5285768084145995,"[[1119, 617], [1059, 697]]",
BTCUSDT,4h,730 days ago UTC,20,logreg,4322,time,0.2,,direction,0.0,0.49421296296296297,0.5021037868162693,0.8136363636363636,0.6209887250650477,0.4815448113207547,"[[69, 355], [82, 358]]",
BTCUSDT,4h,730 days ago UTC,20,hgb,4322,time,0.2,,direction,0.0,0.5034722222222222,0.5533980582524272,0.12954545454545455,0.20994475138121546,0.5129046955403087,"[[378, 46], [383, 57]]",
BTCUSDT,4h,730 days ago UTC,20,rf,4322,time,0.2,,direction,0.0,0.4988425925925926,0.6129032258064516,0.04318181818181818,0.08067940552016985,0.5324533662092624,"[[412, 12], [421, 19]]",
BTCUSDT,4h,730 days ago UTC,20,hgb,4322,time,0.2,,direction,0.0,0.5034722222222222,0.5533980582524272,0.12954545454545455,0.20994475138121546,0.5129046955403087,"[[378, 46], [383, 57]]",
BTCUSDT,4h,730 days ago UTC,20,linsvc,4322,time,0.2,,direction,0.0,0.5138888888888888,0.5116822429906542,0.9954545454545455,0.6759259259259259,0.48523263293310465,"[[6, 418], [2, 438]]",
