symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,deflated_sharpe,sortino_like,cost_roundtrip,r2,mae_bps,rmse_bps,mape_pct
BTCUSDT,4h,720 days ago UTC,16,rf_reg,4273,time,0.2,,return_bps,0.0,,,,,,[],28.0,17,,0.0083589930681335,,0.1421028821582695,8.656391818062709e-05,0.11935164579826801,0.00016538223249551651,0.0023,-0.18177138102829327,54.16884699495068,73.75359283654461,323.3672291960066
BTCUSDT,4h,720 days ago UTC,16,hgb_reg,4273,time,0.2,,return_bps,0.0,,,,,,[],46.0,9,,-16.89134263109454,,-152.02208367985085,-0.15117556791786796,0.11195275110552355,-0.31790453315180617,0.0023,-0.23012423309209495,55.2344608381509,75.23970623511742,308.7307106077835
BTCUSDT,4h,720 days ago UTC,16,svr,4273,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.0006986462150955219,47.66796765044801,67.85909425670401,118.79316636915232
BTCUSDT,4h,720 days ago UTC,16,hgb_reg,4273,time,0.2,,return_bps,0.0,,,,,,[],46.0,9,,-16.89134263109454,,-152.02208367985085,-0.15117556791786796,0.11195275110552355,-0.31790453315180617,0.0023,-0.23021219466564746,55.22524493837303,75.23592196385832,308.72482412357755
BTCUSDT,4h,720 days ago UTC,16,hgb_reg,4273,time,0.2,,return_bps,0.0,,,,,,[],46.0,9,,-16.89134263109454,,-152.02208367985085,-0.15117556791786796,0.11195275110552355,-0.31790453315180617,0.0023,-0.23023073675487948,55.22320023686671,75.23521301101644,308.7231735854414
BTCUSDT,4h,720 days ago UTC,16,hgb_reg,4273,time,0.2,,return_bps,0.0,,,,,,[],46.0,9,,-16.89134263109454,,-152.02208367985085,-0.15117556791786796,0.11195275110552355,-0.31790453315180617,0.0023,-0.23015748151397863,55.23106486449047,75.23819961986779,308.7287912216475
BTCUSDT,4h,720 days ago UTC,16,hgb_reg,4273,time,0.2,,return_bps,0.0,,,,,,[],46.0,9,,-16.89134263109454,,-152.02208367985085,-0.15117556791786796,0.11195275110552355,-0.31790453315180617,0.0023,-0.2301228080562494,55.23460420111081,75.23977271672047,308.73078633381203
BTCUSDT,4h,720 days ago UTC,16,hgb_reg,4273,time,0.2,,return_bps,0.0,,,,,,[],46.0,9,,-16.89134263109454,,-152.02208367985085,-0.15117556791786796,0.11195275110552355,-0.31790453315180617,0.0023,-0.23010341559408842,55.236538075931804,75.2406923030012,308.7317699552265
BTCUSDT,4h,720 days ago UTC,16,hgb_reg,4273,time,0.2,,return_bps,0.0,,,,,,[],46.0,9,,-16.89134263109454,,-152.02208367985085,-0.15117556791786796,0.11195275110552355,-0.31790453315180617,0.0023,-0.23010088435600462,55.23678819854272,75.24081433933412,308.73189223706305
BTCUSDT,4h,720 days ago UTC,16,arima,4273,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.002029091420876261,47.724812860157684,67.90757250105007,129.60320169103622
