symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,sortino_like,cost_roundtrip,r2,mae_bps,rmse_bps,mape_pct
BTCUSDT,8h,120 days ago UTC,16,linreg,313,time,0.2,,return_bps,0.0,,,,,,[],48.0,7,,-14.843663408096791,,-103.90564385667754,-0.35387812063378454,-0.5090159804611186,0.002,-0.15926991237510646,95.15568926584544,129.61074108797808,367.7469031657867
BTCUSDT,8h,120 days ago UTC,16,linreg,313,time,0.2,,return_bps,0.0,,,,,,[],48.0,7,,-14.843663408096791,,-103.90564385667754,-0.35387812063378454,-0.5090159804611186,0.002,-0.15926991237510646,95.15568926584544,129.61074108797808,367.7469031657867
BTCUSDT,8h,120 days ago UTC,16,rf_reg,313,time,0.2,,return_bps,0.0,,,,,,[],7.0,10,,39.77614423306243,,397.76144233062433,0.47176052543508684,4.02093544463858,0.002,-0.24995326875338808,102.22753006760523,134.6565854839562,403.4156536897303
BTCUSDT,8h,120 days ago UTC,16,hgb_reg,313,time,0.2,,return_bps,0.0,,,,,,[],0.0,16,,26.355863625884147,,421.69381801414636,0.3567509779653033,1.6531556391712292,0.002,-0.13701647044762733,91.83707348604004,128.5027557844313,369.4069688772973
BTCUSDT,8h,120 days ago UTC,16,svr,313,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,0.002,-0.010900105899272372,83.28578500034149,121.27911160755065,130.75199856166626
BTCUSDT,8h,120 days ago UTC,16,hgb_reg,313,time,0.2,,return_bps,0.0,,,,,,[],0.0,16,,26.68159970449143,,426.90559527186286,0.35863828594836783,1.673587238107805,0.002,-0.13638338337104594,91.9211344095516,128.592539887688,369.41547295382844
BTCUSDT,8h,120 days ago UTC,16,hgb_reg,313,time,0.2,,return_bps,0.0,,,,,,[],0.0,16,,26.683864512964274,,426.9418322074284,0.35865101616572115,1.6737292968523665,0.002,-0.13637896535191585,91.92171887625426,128.59317585394007,369.4155302280442
BTCUSDT,8h,120 days ago UTC,16,hgb_reg,313,time,0.2,,return_bps,0.0,,,,,,[],0.0,16,,26.665293083486965,,426.64468933579144,0.3585464698488856,1.6725644151469636,0.002,-0.13641518655499518,91.91692624929237,128.5879656999606,369.41505984616634
BTCUSDT,8h,120 days ago UTC,16,hgb_reg,313,time,0.2,,return_bps,0.0,,,,,,[],0.0,16,,26.63041503300505,,426.0866405280808,0.3583491495348043,1.6703767104807106,0.002,-0.13648317133276766,91.90792546207123,128.57821013881482,369.41417190973505
BTCUSDT,8h,120 days ago UTC,16,hgb_reg,313,time,0.2,,return_bps,0.0,,,,,,[],0.0,16,,26.599783498409845,,425.5965359745575,0.35817479937975244,1.6684553659605181,0.002,-0.13654283513294807,91.90002054991764,128.5696739604519,369.41338715994505
BTCUSDT,8h,120 days ago UTC,16,hgb_reg,313,time,0.2,,return_bps,0.0,,,,,,[],0.0,16,,26.220144978148802,,419.52231965038084,0.3559311841012681,1.6446427689033762,0.002,-0.13727885952682106,91.80204931888252,128.46633498922301,369.40326210533294
BTCUSDT,8h,120 days ago UTC,16,arima,313,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,0.002,-0.004004330073144935,82.81732593961256,120.72229853919767,112.05679543636762
BTCUSDT,1d,120 days ago UTC,16,linreg,73,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,0.002,-22.769225369692006,1160.0981661280218,1276.6297792249964,1843.29010526638
BTCUSDT,1d,120 days ago UTC,16,linreg,73,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,0.002,-22.758401383609876,1160.0058833614642,1276.471576548373,1837.036617731581
BTCUSDT,1d,120 days ago UTC,16,rf_reg,73,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,0.002,-0.004112715228696828,221.67807979099416,262.41809258535335,190.4920363077531
BTCUSDT,1d,120 days ago UTC,16,hgb_reg,73,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,0.002,0.048505604147056625,205.54474856706074,255.44987215127924,158.21270031936484
BTCUSDT,1d,120 days ago UTC,16,svr,73,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,0.002,-0.009797028956197051,194.4684651939242,263.1598228735551,102.59496467697925
BTCUSDT,1d,120 days ago UTC,16,hgb_reg,73,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,0.002,0.04850540185513075,205.54481190458068,255.44988096566203,158.21287553327835
BTCUSDT,1d,120 days ago UTC,16,hgb_reg,73,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,0.002,0.04850540185513075,205.54481190458068,255.44988096566203,158.21287553327835
