symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,cost_roundtrip,r2,mae_bps
BTCUSDT,4h,365 days ago UTC,16,hgb,2143,time,0.2,,direction,0.0,0.5186915887850467,0.5075187969924813,0.6428571428571429,0.5672268907563025,0.5100262123197903,"[[87, 131], [75, 135]]",0.87,6,0.3333333333333333,-1.212270562779485e-06,-8.647530014493675e-05,-0.0005708190147470926,-0.11471960800454793,0.003,,
BTCUSDT,4h,365 days ago UTC,16,linsvc,2143,time,0.2,,direction,0.0,0.5093457943925234,0.0,0.0,0.0,0.48383573612931413,"[[218, 0], [210, 0]]",0.5,0,,0.0,,0.0,,0.003,,
BTCUSDT,4h,365 days ago UTC,16,bilstm,2128,time,0.2,,direction,0.0,0.5270588235294118,0.5143884892086331,0.6842105263157895,0.5872689938398358,0.5149964557859295,"[[81, 135], [66, 143]]",0.62,0,,0.0,,0.0,,0.003,,
BTCUSDT,4h,365 days ago UTC,16,gru_lstm,2128,time,0.2,,direction,0.0,0.52,0.5324675324675324,0.19617224880382775,0.2867132867132867,0.5295720361509835,"[[180, 36], [168, 41]]",0.655,0,,0.0,,0.0,,0.003,,
BTCUSDT,4h,365 days ago UTC,16,hybrid_transformer,2128,time,0.2,,direction,0.0,0.5388235294117647,0.5245283018867924,0.6650717703349283,0.5864978902953587,0.5453659401027823,"[[90, 126], [70, 139]]",0.73,0,,0.0,,0.0,,0.003,,
BTCUSDT,4h,365 days ago UTC,16,voting_soft,2143,time,0.2,,direction,0.0,0.5046728971962616,0.49642857142857144,0.6619047619047619,0.5673469387755102,0.5199868938401049,"[[77, 141], [71, 139]]",0.69,0,,0.0,,0.0,,0.003,,
BTCUSDT,4h,365 days ago UTC,16,stacking,2143,time,0.2,,direction,0.0,0.49065420560747663,0.4878048780487805,0.7619047619047619,0.5947955390334573,0.487134119702927,"[[50, 168], [50, 160]]",0.62,0,,0.0,,0.0,,0.003,,
BTCUSDT,4h,365 days ago UTC,16,metalabel,2143,time,0.2,,direction,0.0,0.5186915887850467,0.5075187969924813,0.6428571428571429,0.5672268907563025,0.5098733071210135,"[[87, 131], [75, 135]]",0.87,6,0.3333333333333333,-1.212270562779485e-06,-8.647530014493675e-05,-0.0005708190147470926,-0.11471960800454793,0.003,,
BTCUSDT,8h,365 days ago UTC,16,logreg,1048,time,0.2,,direction,0.0,0.5311004784688995,0.5311004784688995,1.0,0.69375,0.5135135135135136,"[[0, 98], [0, 111]]",0.52,0,,0.0,,0.0,,0.003,,
BTCUSDT,8h,365 days ago UTC,16,sgdlog,1048,time,0.2,,direction,0.0,0.4688995215311005,0.0,0.0,0.0,0.5051480051480052,"[[98, 0], [111, 0]]",0.5,0,,0.0,,0.0,,0.003,,
